时间,等级,类型,代码,名称,现价,涨跌幅,正股涨跌幅,溢价率,评分,详情
14:21:51,B,股价大涨转债滞涨,123131,奥飞转债,272.37,+0.27%,+3.60%,25.23%,1.3,正股大涨+3.6% 转债仅+0.3% 偏离3.3% 🔗板块 绿色电力/东数西算(算力)(均涨+2.8%)
14:21:51,B,超跌修复,118060,瑞可转债,251.71,-2.40%,+0.50%,35.50%,0.5,转债超跌-2.4% vs 正股+0.5% 偏离2.9% 修复空间大
14:21:55,B,放量拉升,111001,山玻转债,204.36,+3.05%,-3.93%,1.63%,0.2,"放量3.5x (均量456手/轮, 峰值1594手) 成交额24.43亿 ⚠️强赎"
14:22:22,B,股价大涨转债滞涨,127078,优彩转债,144.35,+0.24%,+3.55%,24.78%,1.1,正股大涨+3.5% 转债仅+0.2% 偏离3.3%
14:22:22,B,股价大涨转债滞涨,128142,新乳转债,115.29,+0.96%,+3.66%,29.50%,0.7,正股大涨+3.7% 转债仅+1.0% 偏离2.7% 🔗板块 绿色电力/西部大开发(均涨+2.4%)
14:22:46,B,正股大跌转债抗跌,110084,贵燃转债,129.30,-0.61%,-3.04%,20.01%,0.5,正股大跌-3.0% 转债仅-0.6% 抗跌 🔗板块 地下管网/氢能源(均涨+4.3%)
14:24:35,B,放量拉升,118018,瑞科转债,295.30,+1.54%,+1.15%,-0.32%,0.1,"放量3.1x (均量202手/轮, 峰值628手) 成交额7.06亿 ⚠️强赎"
14:26:14,B,超跌修复,118050,航宇转债,294.44,-3.99%,-0.98%,25.97%,0.6,转债超跌-4.0% vs 正股-1.0% 偏离3.0% 修复空间大
14:26:28,B,股价大涨转债滞涨,113646,永吉转债,156.67,+0.89%,+3.10%,30.96%,0.3,正股大涨+3.1% 转债仅+0.9% 偏离2.2%
14:26:51,B,超跌修复,127055,精装转债,246.67,-3.65%,+2.46%,19.18%,9.4,转债超跌-3.6% vs 正股+2.5% 偏离6.1% 修复空间大
14:26:51,B,正股大跌转债抗跌,128127,文科转债,114.43,-0.08%,-4.87%,14.72%,3.1,正股大跌-4.9% 转债仅-0.1% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.8%)
14:26:51,B,股价大涨转债滞涨,123131,奥飞转债,272.36,+0.26%,+3.69%,25.11%,1.4,正股大涨+3.7% 转债仅+0.3% 偏离3.4% 🔗板块 绿色电力/东数西算(算力)(均涨+3.0%)
14:26:51,B,超跌修复,118060,瑞可转债,252.44,-2.11%,+0.93%,35.33%,0.6,转债超跌-2.1% vs 正股+0.9% 偏离3.0% 修复空间大
14:27:23,B,股价大涨转债滞涨,127078,优彩转债,144.04,+0.03%,+3.40%,24.68%,1.1,正股大涨+3.4% 转债仅+0.0% 偏离3.4%
14:27:50,B,正股大跌转债抗跌,110084,贵燃转债,129.27,-0.64%,-3.30%,20.29%,0.6,正股大跌-3.3% 转债仅-0.6% 抗跌 🔗板块 地下管网/氢能源(均涨+4.4%)
14:27:55,B,放量拉升,111001,山玻转债,204.10,+2.92%,-3.97%,1.55%,0.4,"放量3.8x (均量150手/轮, 峰值564手) 成交额24.74亿 ⚠️强赎"
14:31:15,B,超跌修复,118050,航宇转债,293.74,-4.22%,-1.10%,25.82%,0.7,转债超跌-4.2% vs 正股-1.1% 偏离3.1% 修复空间大
14:31:56,B,超跌修复,127055,精装转债,246.64,-3.66%,+2.84%,18.73%,11.2,转债超跌-3.7% vs 正股+2.8% 偏离6.5% 修复空间大
14:31:56,B,正股大跌转债抗跌,128127,文科转债,114.48,-0.04%,-4.87%,14.77%,3.1,正股大跌-4.9% 转债仅-0.0% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.8%)
14:31:56,B,超跌修复,118060,瑞可转债,251.50,-2.48%,+0.75%,35.06%,0.8,转债超跌-2.5% vs 正股+0.8% 偏离3.2% 修复空间大
14:31:56,B,股价大涨转债滞涨,123131,奥飞转债,273.31,+0.61%,+3.65%,25.61%,1.0,正股大涨+3.6% 转债仅+0.6% 偏离3.0% 🔗板块 绿色电力/东数西算(算力)(均涨+3.0%)
14:32:00,B,股价大涨转债滞涨,113646,永吉转债,156.72,+0.93%,+3.00%,31.15%,0.2,正股大涨+3.0% 转债仅+0.9% 偏离2.1%
14:32:23,B,股价大涨转债滞涨,127078,优彩转债,144.08,+0.06%,+3.12%,25.05%,0.9,正股大涨+3.1% 转债仅+0.1% 偏离3.1%
